id,name,latitude,longitude,type
1,Gadget's Go Coaster,33.8152241,-117.9193603,1
2,Haunted Mansion,33.8117229,-117.9221794,1
3,King Arthur Carrousel,33.8133904,-117.9189451,1
4,Snow White's Scary Adventures,33.8131144,-117.9191743,1
5,Alice in Wonderland,33.8132931,-117.9182948,1
6,Astro Orbitor,33.8120236,-117.9182565,1
7,Autopia,33.8125924,-117.916365,1
8,Big Thunder Mountain Railroad,33.8128736,117.9201132,1
9,Buzz Lightyear Astro Blasters,33.8122384,-117.9178289,1
10,Casey Jr. Circus Train,33.8137139,117.9191569,1
11,Chip 'n Dale Treehouse,,,1
12,Davy Crockett's Explorer Canoes,,,1
13,The Disney Gallery,,,1
14,Disneyland Monorail,,,1
15,Disneyland Railroad,,,1
16,Great Moments with Mr. Lincoln,,,1
17,Donald's Boat,,,1
18,Dumbo the Flying Elephant,,,1
19,Finding Nemo Submarine Voyage,,,1
20,Fortune Tellers,,,1
21,Frontierland Shootin' Exposition,,,1
22,Goofy's Playhouse,,,1
23,Haunted Mansion Holiday,,,2
24,Holiday Décor  Holiday Décor,,,2
25,Indiana Jones™ Adventure,,,1
26,"""it's a small world""",,,1
27,"""it's a small world"" Holiday",,,2
28,Jungle Cruise,,,1
29,Mad Tea Party,,,1
30,Main Street Cinema,,,1
31,Main Street Pumpkin Festival,,,2
32,Main Street Vehicles,,,2
33,The Many Adventures of Winnie the Pooh,,,1
34,Mark Twain Riverboat,,,1
35,Matterhorn Bobsleds,,,1
36,Meet Mickey,,,1
37,Millennium Falcon: Smugglers Run,,,1
38,Minnie's House,,,1
39,Mr. Toad's Wild Ride,,,1
40,Peter Pan's Flight,,,1
41,Pinocchio's Daring Journey,,,1
42,Pirate's Lair on Tom Sawyer Island,,,1
43,Pirates of the Caribbean,,,1
44,Roger Rabbit's Car Toon Spin,,,1
45,Sailing Ship Columbia,,,1
46,Sleeping Beauty Castle Walkthrough,,,1
47,Space Mountain,,,1
48,Splash Mountain,,,1
49,Star Tours – The Adventures Continue,,,1
50,Star Wars: Datapad on Play Disney Parks Mobile App,,,1
51,Star Wars Launch Bay,,,1
52,Star Wars: Rise of the Resistance,,,1
53,Storybook Land Canal Boats,,,1
54,Tarzan's Treehouse™,,,1
55,Walt Disney's Enchanted Tiki Room,,,1
